Word,Normalized Score,Unique Letter Count,Unique Letters
Sacrospinalis,2.833,9,acilnoprs
Sacrospinous,2.773,9,acinoprsu
Sacrotomy,2.773,8,acmorsty
Sacrotuberous,2.833,9,abceorstu
Sacrovertebral,3.045,10,abcelorstv
Sacrum,2.303,6,acmrsu
Sacrums,2.398,6,acmrsu
Sacs,1.792,3,acs
Sad,1.386,3,ads
Sadachbia,2.833,7,abcdhis
Sadalmelik,2.833,8,adeiklms
Sadaqat,2.833,5,adqst
Sade,1.609,4,ades
Sades,1.792,4,ades
Sadh,2.079,4,adhs
Sadhaka,2.708,5,adhks
Sadhana,2.398,5,adhns
Sadhe,2.197,5,adehs
Sadhearted,2.708,7,adehrst
Sadhes,2.303,5,adehs
Sadhika,2.708,6,adhiks
Sadhu,2.197,5,adhsu
Sadhus,2.303,5,adhsu
Sadi,1.609,4,adis
Sadic,2.079,5,acdis
Sadie,1.792,5,adeis
Sadiron,2.079,7,adinors
Sadirons,2.197,7,adinors
Sadis,1.792,4,adis
Sadism,2.197,5,adims
Sadisms,2.303,5,adims
Sadist,1.946,5,adist
Sadistic,2.398,6,acdist
Sadists,2.079,5,adist
Sadite,1.946,6,adeist
Sadleir,2.079,7,adeilrs
Sadly,2.197,5,adlsy
Sado,1.609,4,ados
Sadomasochism,3.135,8,acdhimos
Sadomasochist,3.045,9,acdhimost
Sadomasochistic,3.219,9,acdhimost
Sadomasochists,3.091,9,acdhimost
Sadr,1.609,4,adrs
Sadware,2.398,6,adersw
Sae,1.099,3,aes
Saebeins,2.303,6,abeins
Saecula,2.197,6,acelsu
Saecular,2.303,7,acelrsu
Saeculum,2.485,7,acelmsu
Saeima,2.079,5,aeims
Saernaite,2.197,7,aeinrst
Saeta,1.609,4,aest
Saeter,1.792,5,aerst
Saeume,2.079,5,aemsu
Safar,2.079,4,afrs
Safari,2.197,5,afirs
Safaried,2.485,7,adefirs
Safaris,2.303,5,afirs
Safavi,2.485,5,afisv
Safawid,2.639,6,adfisw
Safe,1.946,4,aefs
Safeblower,2.89,9,abeflorsw
Safeblowing,2.996,11,abefgilnosw
Safebreaker,2.996,7,abefkrs
Safebreaking,3.091,10,abefgiknrs
Safecracker,3.091,7,acefkrs
Safecracking,3.178,10,acefgiknrs
Safegaurds,2.708,8,adefgrsu
Safeguard,2.639,8,adefgrsu
Safeguarded,2.833,8,adefgrsu
Safeguarder,2.773,8,adefgrsu
Safeguarding,2.89,10,adefginrsu
Safeguards,2.708,8,adefgrsu
Safehold,2.708,8,adefhlos
Safely,2.485,6,aeflsy
Safelight,2.773,9,aefghilst
Safemaker,2.89,7,aefkmrs
Safemaking,2.996,9,aefgikmns
Safen,2.079,5,aefns
Safener,2.303,6,aefnrs
Safer,2.079,5,aefrs
Safes,2.079,4,aefs
Safest,2.197,5,aefst
Safety,2.485,6,aefsty
Safetied,2.485,7,adefist
Safeties,2.398,6,aefist
Safetying,2.773,9,aefginsty
Safetyman,2.833,8,aefmnsty
Safeway,2.773,6,aefswy
Safi,1.946,4,afis
Safine,2.197,6,aefins
Safini,2.197,5,afins
Safranyik,2.944,8,afiknrsy
Safranin,2.398,6,afinrs
Safranine,2.485,7,aefinrs
Safranins,2.485,6,afinrs
Safranophil,2.944,10,afhilnoprs
Safranophile,2.996,11,aefhilnoprs
Safrol,2.197,6,aflors
Safrole,2.303,7,aeflors
Safroles,2.398,7,aeflors
Safrols,2.303,6,aflors
Saft,1.946,4,afst
Saftly,2.485,6,aflsty
Sag,1.386,3,ags
Saga,1.609,3,ags
Sagaciate,2.485,7,acegist
Sagacious,2.485,7,acgiosu
Sagaciously,2.833,9,acgilosuy
Sagacity,2.639,7,acgisty
Sagacities,2.565,7,acegist
Sagai,1.792,4,agis
Sagaie,1.946,5,aegis
Sagaman,2.303,5,agmns
Sagamen,2.303,6,aegmns
Sagamite,2.398,7,aegimst
Sagamore,2.398,7,aegmors
Sagamores,2.485,7,aegmors
Sagan,1.792,4,agns
Saganash,2.485,5,aghns
Saganashes,2.639,6,aeghns
Sagapen,2.303,6,aegnps
Sagapenum,2.639,8,aegmnpsu
Sagas,1.792,3,ags
Sagathy,2.639,6,aghsty
Sagbut,2.197,6,abgstu
Sagbuts,2.303,6,abgstu
Sage,1.609,4,aegs
Sagebrush,2.708,8,abeghrsu
Sagebrusher,2.833,8,abeghrsu
Sagebrushes,2.833,8,abeghrsu
Sagebush,2.639,7,abeghsu
Sageleaf,2.485,6,aefgls
Sagely,2.303,6,aeglsy
Sagene,1.946,5,aegns
Sagenite,2.197,7,aeginst
Sagenitic,2.485,8,aceginst
Sager,1.792,5,aegrs
Sageretia,2.303,7,aegirst
Sagerose,2.197,6,aegors
Sages,1.792,4,aegs
Sageship,2.639,7,aeghips
Sagest,1.946,5,aegst
Saghavart,2.773,7,aghrstv
Sagy,2.079,4,agsy
Sagier,1.946,6,aegirs
Sagiest,2.079,6,aegist
Sagina,1.946,5,agins
Saginate,2.197,7,aeginst
Sagination,2.398,7,aginost
Saging,2.079,5,agins
Sagital,2.079,6,agilst
Sagitarius,2.398,7,agirstu
Sago,1.609,4,agos
Sagoin,1.946,6,aginos
Sagolike,2.565,8,aegiklos
Sagos,1.792,4,agos
Sagra,1.792,4,agrs
Sags,1.609,3,ags
Saguaro,2.079,6,agorsu
Saguaros,2.197,6,agorsu
Saguerus,2.197,6,aegrsu
Saguing,2.197,6,aginsu
Sagum,2.079,5,agmsu
Saguran,2.079,6,agnrsu
Saguranes,2.303,7,aegnrsu
Sagvandite,2.708,9,adeginstv
Sagwire,2.398,7,aegirsw
Sah,1.792,3,ahs
Sahadeva,2.708,6,adehsv
Sahaptin,2.565,7,ahinpst
Sahara,2.197,4,ahrs
Saharan,2.303,5,ahnrs
Saharian,2.398,6,ahinrs
Saharic,2.485,6,achirs
Sahib,2.303,5,abhis
Sahibah,2.708,5,abhis
Sahibs,2.398,5,abhis
Sahidic,2.565,6,acdhis
Sahiwal,2.565,6,ahilsw
Sahiwals,2.639,6,ahilsw
Sahlite,2.303,7,aehilst
Sahme,2.303,5,aehms
Saho,1.946,4,ahos
Sahoukar,2.708,7,ahkorsu
Sahras,2.197,4,ahrs
Sahuaro,2.303,6,ahorsu
Sahuaros,2.398,6,ahorsu
Sahukar,2.639,6,ahkrsu
Sai,1.099,3,ais
Say,1.792,3,asy
Saya,1.946,3,asy
Sayability,2.89,7,abilsty
Sayable,2.485,6,abelsy
Sayal,2.079,4,alsy
Saibling,2.398,7,abgilns
Saic,1.792,4,acis
Saice,1.946,5,aceis
Saices,2.079,5,aceis
Said,1.609,4,adis
Saidi,1.792,4,adis
Saids,1.792,4,adis
Sayer,2.079,5,aersy
Sayers,2.197,5,aersy
Sayest,2.197,5,aesty
Saify,2.398,5,afisy
Saiga,1.792,4,agis
Saigas,1.946,4,agis
Saignant,2.197,6,aginst
Saigon,1.946,6,aginos
Sayid,2.197,5,adisy
Sayids,2.303,5,adisy
Saiyid,2.303,5,adisy
Saiyids,2.398,5,adisy
Saying,2.303,6,aginsy
Sayings,2.398,6,aginsy
Sail,1.386,4,ails
Sailable,2.303,6,abeils
Sailage,2.079,6,aegils
Sailboard,2.485,8,abdilors
Sailboat,2.303,7,abilost
Sailboater,2.485,9,abeilorst
Sailboating,2.639,9,abgilnost
Sailboats,2.398,7,abilost
Sailcloth,2.639,8,achilost
Sailed,1.946,6,adeils
Sailer,1.792,6,aeilrs
Sailers,1.946,6,aeilrs
Sailfin,2.303,6,afilns
Sailfish,2.639,6,afhils
Sailfishes,2.773,7,aefhils
Sailflying,2.833,8,afgilnsy
Saily,2.079,5,ailsy
Sailyard,2.485,7,adilrsy
Sailye,2.197,6,aeilsy
Sailing,2.079,6,agilns
Sailingly,2.565,7,agilnsy
Sailings,2.197,6,agilns
Sailmaker,2.708,8,aeiklmrs
Sailmaking,2.833,8,agiklmns
Sailor,1.792,6,ailors
Sailorfish,2.773,8,afhilors
Sailoring,2.303,8,agilnors
Sailorizing,3.045,9,agilnorsz
Sailorly,2.398,7,ailorsy
Sailorlike,2.639,8,aeiklors
Sailorman,2.398,8,ailmnors
Sailors,1.946,6,ailors
Sailour,1.946,7,ailorsu
Sailplane,2.398,7,aeilnps
Sailplaned,2.565,8,adeilnps
Sailplaner,2.485,8,aeilnprs
Sailplaning,2.639,7,agilnps
Sails,1.609,4,ails
Sailship,2.565,6,ahilps
Sailsman,2.303,6,ailmns
Saim,1.792,4,aims
Saimy,2.303,5,aimsy
Saimiri,2.197,5,aimrs
Sain,1.386,4,ains
Saynay,2.485,4,ansy
Saindoux,2.773,8,adinosux
Sained,1.946,6,adeins
Saynete,2.303,6,aensty
Sainfoin,2.398,6,afinos
Sainfoins,2.485,6,afinos
Saining,2.079,5,agins
Sains,1.609,4,ains
Saint,1.609,5,ainst
Saintdom,2.398,8,adimnost
Saintdoms,2.485,8,adimnost
Sainte,1.792,6,aeinst
Sainted,2.079,7,adeinst
Sainting,2.197,6,aginst
Saintish,2.398,6,ahinst
Saintism,2.303,6,aimnst
Saintly,2.303,7,ailnsty
Saintlier,2.197,8,aeilnrst
Saintliest,2.303,7,aeilnst
Saintlike,2.565,8,aeiklnst
Saintlily,2.485,7,ailnsty
Saintling,2.303,7,agilnst
Saintology,2.639,9,agilnosty
Saintologist,2.565,8,agilnost
Saintpaulia,2.565,8,ailnpstu
Saints,1.792,5,ainst
Saintship,2.639,7,ahinpst
Sayonara,2.398,6,anorsy
Sayonaras,2.485,6,anorsy
Saip,1.792,4,aips
Saiph,2.303,5,ahips
Sair,1.386,4,airs
Sairy,2.079,5,airsy
Sairly,2.197,6,ailrsy
Sairve,2.197,6,aeirsv
Says,1.946,3,asy
Sayst,2.079,4,asty
Saite,1.609,5,aeist
Saith,2.079,5,ahist
Saithe,2.197,6,aehist
Saitic,2.079,5,acist
Saiva,2.079,4,aisv
Saivism,2.485,5,aimsv
Saj,2.303,3,ajs
Sajou,2.485,5,ajosu
Sajous,2.565,5,ajosu
Sak,1.946,3,aks
Saka,2.079,3,aks
Sakai,2.197,4,aiks
Sakalava,2.708,5,aklsv
Sake,2.079,4,aeks
Sakeber,2.565,6,abekrs
Sakel,2.197,5,aekls
Sakelarides,2.773,8,adeiklrs
Saker,2.197,5,aekrs
Sakeret,2.398,6,aekrst
Sakers,2.303,5,aekrs
Sakes,2.197,4,aeks
Sakha,2.485,4,ahks
Saki,2.079,4,aiks
Sakyamuni,2.89,8,aikmnsuy
Sakieh,2.565,6,aehiks
Sakiyeh,2.833,7,aehiksy
Sakis,2.197,4,aiks
Sakti,2.197,5,aikst
Saktism,2.565,6,aikmst
Sakulya,2.639,6,aklsuy
Sal,1.099,3,als
Sala,1.386,3,als
Salability,2.708,7,abilsty
Salabilities,2.639,7,abeilst
Salable,2.197,5,abels
Salably,2.485,5,ablsy
Salaceta,2.303,6,acelst
Salacious,2.398,7,acilosu
Salaciously,2.773,8,acilosuy
Salacity,2.565,7,acilsty
Salacities,2.485,7,aceilst
Salacot,2.197,6,aclost
Salad,1.792,4,adls
Salada,1.946,4,adls
Saladang,2.303,6,adglns
Saladangs,2.398,6,adglns
Salade,1.946,5,adels
Saladero,2.197,7,adelors
Saladin,2.079,6,adilns
Salading,2.303,7,adgilns
Salads,1.946,4,adls
Salago,1.946,5,aglos
Salagrama,2.485,6,aglmrs
Salay,2.079,4,alsy
Salal,1.609,3,als
Salamandarin,2.708,8,adilmnrs
Salamander,2.565,8,adelmnrs
Salamanderlike,3.045,10,adeiklmnrs
Salamanders,2.639,8,adelmnrs
Salamandra,2.565,7,adlmnrs
Salamandrian,2.708,8,adilmnrs
Salamandridae,2.833,9,adeilmnrs
Salamandriform,3.091,10,adfilmnors
Salamandrin,2.639,8,adilmnrs
Salamandrina,2.708,8,adilmnrs
Salamandrine,2.708,9,adeilmnrs
Salamandroid,2.773,9,adilmnors
Salamat,2.197,5,almst
Salambao,2.485,6,ablmos
Salame,2.079,5,aelms
Salami,2.079,5,ailms
Salaminian,2.485,6,ailmns
Salamis,2.197,5,ailms
Salamo,2.079,5,almos
Salampore,2.565,8,aelmoprs
Salamstone,2.485,8,aelmnost
Salangane,2.303,6,aeglns
Salangid,2.303,7,adgilns
Salangidae,2.485,8,adegilns
Salar,1.609,4,alrs
Salary,2.197,5,alrsy
Salariat,2.079,6,ailrst
Salariats,2.197,6,ailrst
Salaried,2.197,7,adeilrs
Salariego,2.303,8,aegilors
Salaries,2.079,6,aeilrs
Salarying,2.565,8,agilnrsy
Salat,1.609,4,alst
Salband,2.303,6,abdlns
Salchow,2.708,7,achlosw
Saldid,2.079,5,adils
Sale,1.386,4,aels
Saleability,2.773,8,abeilsty
Saleable,2.303,5,abels
Saleably,2.565,6,abelsy
Salebrous,2.398,8,abelorsu
Salegoer,2.197,7,aeglors
Saleyard,2.485,7,adelrsy
Salele,1.792,4,aels
Salem,1.946,5,aelms
Salema,2.079,5,aelms
Salempore,2.565,8,aelmoprs
Salenixon,2.773,8,aeilnosx
Salep,1.946,5,aelps
Saleps,2.079,5,aelps
Saleratus,2.197,7,aelrstu
Sales,1.609,4,aels
Salesclerk,2.773,7,aceklrs
Salesclerks,2.833,7,aceklrs
Salesgirl,2.303,7,aegilrs
Salesgirls,2.398,7,aegilrs
Salesian,2.079,6,aeilns
Salesite,2.079,6,aeilst
Saleslady,2.565,6,adelsy
Salesladies,2.485,6,adeils
Salesman,2.303,6,aelmns
Salesmanship,2.944,9,aehilmnps
Salesmen,2.303,6,aelmns
Salespeople,2.708,6,aelops
Salesperson,2.565,8,aelnoprs
Salespersons,2.639,8,aelnoprs
Saleswoman,2.708,8,aelmnosw
Saleswomen,2.708,8,aelmnosw
Salet,1.609,5,aelst
Saleware,2.398,6,aelrsw
Salework,2.708,8,aeklorsw
Salfern,2.303,7,aeflnrs
Salian,1.792,5,ailns
Saliant,1.946,6,ailnst
Saliaric,2.303,6,acilrs
Salic,1.946,5,acils
Salicaceae,2.639,6,aceils
Salicaceous,2.708,8,aceilosu
Salicales,2.398,6,aceils
Salicariaceae,2.833,7,aceilrs
Salicetum,2.565,9,aceilmstu
Salicyl,2.485,6,acilsy
