Word,Normalized Score,Unique Letter Count,Unique Letters
Fairylike,2.944,8,aefiklry
Fairing,2.398,6,afginr
Fairings,2.485,7,afginrs
Fairyology,2.996,8,afgilory
Fairyologist,2.944,10,afgilorsty
Fairish,2.565,6,afhirs
Fairyship,2.996,8,afhiprsy
Fairishly,2.89,8,afhilrsy
Fairlead,2.485,7,adefilr
Fairleader,2.639,7,adefilr
Fairleads,2.565,8,adefilrs
Fairly,2.485,6,afilry
Fairlike,2.708,7,aefiklr
Fairling,2.485,7,afgilnr
Fairm,2.303,5,afimr
Fairs,2.079,5,afirs
Fairship,2.773,7,afhiprs
Fairsome,2.565,8,aefimors
Fairstead,2.565,8,adefirst
Fairtime,2.565,7,aefimrt
Fairway,2.773,6,afirwy
Fairways,2.833,7,afirswy
Fairwater,2.708,7,aefirtw
Fays,2.303,4,afsy
Faisan,2.197,5,afins
Faisceau,2.565,7,acefisu
Fait,1.946,4,afit
Faitery,2.565,7,aefirty
Faith,2.398,5,afhit
Faithbreach,3.178,9,abcefhirt
Faithbreaker,3.178,9,abefhikrt
Faithed,2.639,7,adefhit
Faithful,2.833,7,afhiltu
Faithfuls,2.89,8,afhilstu
Faithing,2.708,7,afghint
Faiths,2.485,6,afhist
Faithwise,2.89,8,aefhistw
Faithworthy,3.258,9,afhiortwy
Faitor,2.197,6,afiort
Faitour,2.303,7,afiortu
Faitours,2.398,8,afiorstu
Faits,2.079,5,afist
Fayumic,2.833,7,acfimuy
Fake,2.398,4,aefk
Faked,2.565,5,adefk
Fakement,2.833,7,aefkmnt
Faker,2.485,5,aefkr
Fakery,2.773,6,aefkry
Fakeries,2.708,7,aefikrs
Fakers,2.565,6,aefkrs
Fakes,2.485,5,aefks
Faki,2.398,4,afik
Faky,2.639,4,afky
Faking,2.639,6,afgikn
Fakir,2.485,5,afikr
Fakirism,2.833,7,afikmrs
Fakirs,2.565,6,afikrs
Fakofo,2.773,4,afko
Fala,1.946,3,afl
Falafel,2.565,4,aefl
Falanaka,2.708,5,afkln
Falange,2.398,6,aefgln
Falangism,2.708,8,afgilmns
Falangist,2.565,8,afgilnst
Falasha,2.565,5,afhls
Falbala,2.485,4,abfl
Falbalas,2.565,5,abfls
Falbelo,2.485,6,abeflo
Falcade,2.565,6,acdefl
Falcata,2.485,5,acflt
Falcate,2.485,6,aceflt
Falcated,2.639,7,acdeflt
Falcation,2.639,8,acfilnot
Falcer,2.398,6,aceflr
Falces,2.398,6,acefls
Falchion,2.773,8,acfhilno
Falchions,2.833,9,acfhilnos
Falcial,2.485,5,acfil
Falcidian,2.708,7,acdfiln
Falciform,2.944,8,acfilmor
Falciparum,2.944,9,acfilmpru
Falco,2.303,5,acflo
Falcon,2.398,6,acflno
Falconer,2.565,8,aceflnor
Falconers,2.639,9,aceflnors
Falcones,2.565,8,aceflnos
Falconet,2.565,8,aceflnot
Falconets,2.639,9,aceflnost
Falconidae,2.773,9,acdefilno
Falconiform,3.045,9,acfilmnor
Falconiformes,3.135,11,acefilmnors
Falconinae,2.708,8,acefilno
Falconine,2.639,8,acefilno
Falconlike,2.944,9,acefiklno
Falconoid,2.708,8,acdfilno
Falconry,2.773,8,acflnory
Falconries,2.708,10,acefilnors
